#CODE;ENGLISH;;;;;;;;;x 
EVTTOOLTIP_TOG_751;Invitation to the Užgavenes festival is sent.;;;;;;;;;x 
EVTDESC_TOG_751;[From.GetTitledFirstName], your liege, has invited you to join [From.GetHerHim] for this spring's Užgavenes festival. There you will celebrate the coming of summer and the defeat of Lašininis, the winter spirit, at the hands of Kanapinis, the spirit of spring.;;;;;;;;;x 
EVTDESC_TOG_752;[From.GetTitledFirstName] has declined your invitation to attend the Užgavenes festival! Apparently [From.GetSheHe] has no faith in Lašininis, Kanapinis and the other spirits, and instead follows the strange rituals of some other religion that is foreign to our ways.;;;;;;;;;x 
EVTDESC_TOG_753;Your vassals have arrived and the time of the Užgavenes festival is upon us. A large effigy representing winter is burnt, and a symbolic fight is staged between Lašininis, the winter spirit, and Kanapinis, the spirit personifying spring. To everyone's delight, Kanapinis emerges victorious ?as always.;;;;;;;;;x 
EVTOPTA_TOG_753;Take that, Lašininis!;;;;;;;;;x 
EVTDESC_TOG_754;At last, the time of the Užgavenes festival is upon us. A large effigy representing winter is burnt, and a symbolic fight is staged between Lašininis, the winter spirit, and Kanapinis, the spirit personifying spring. To everyone's delight, Kanapinis emerges victorious ?as always.;;;;;;;;;x 
EVTDESC_TOG_755;As the winter effigy continues to burn outside, hastening the coming of summer, you and your vassals gather for the great feast your servants have prepared!;;;;;;;;;x 
EVTDESC_TOG_756;As the winter effigy continues to burn outside, hastening the coming of summer, you gather together with your liege and the rest of [From.GetHerHis] vassals for the great feast [From.GetSheHe] has prepared!;;;;;;;;;x 
EVTDESC_TOG_757;The effigy has finished burning, the spirit of Lašininis has been defeated, and the feast has come to an end. Your vassals are returning home, but most seem to agree that the Užgavenes festival was well worth the trip.;;;;;;;;;x 
EVTDESC_TOG_758;The effigy has finished burning, the spirit of Lašininis has been defeated, and the feast has come to an end. You and the other vassals are returning home, but you all agree that the Užgavenes festival was well worth the trip.;;;;;;;;;x 
opinion_refused_blot;Refused to Give Offering for Blot;;;;;;;;;x 
opinion_refused_ukon_juhla;Refused to attend Ukon Juhla;;;;;;;;;x 
opinion_refused_uzgavenes;Refused to attend Užgavenes;;;;;;;;;x 
convert_to_swedish;Embrace Swedish Culture;;;;;;;;;x 
convert_to_swedish_desc;Our brethren in Norway and Denmark are adopting foreign customs and speak with ever thicker accents. Perhaps it is time to develop our own distinct culture...;;;;;;;;;x 
convert_to_norwegian;Embrace Norwegian Culture;;;;;;;;;x 
convert_to_norwegian_desc;Our brethren in Sweden and Denmark are adopting foreign customs and speak with ever thicker accents. Perhaps it is time to develop our own distinct culture...;;;;;;;;;x 
convert_to_danish;Embrace Danish Culture;;;;;;;;;x 
convert_to_danish_desc;Our brethren in Norway and Sweden are adopting foreign customs and speak with ever thicker accents. Perhaps it is time to develop our own distinct culture...;;;;;;;;;x 
convert_to_norman;Embrace Norman Culture;;;;;;;;;x 
convert_to_norman_desc;The ancestral tongue is spoken by ever fewer of our people, yet the old ways are not forgotten. We are something new - they call us 'Normans'.;;;;;;;;;x 
EVTDESC_TOG_2000;The people of [Root.GetName] have developed their language and customs to a point where they may now be considered part of a distinct branch of Norse culture. They have begun to refer to themselves as Swedish.;;;;;;;;;x 
EVTOPTA_TOG_2000;What will they think of next, I wonder.;;;;;;;;;x 
EVTOPTB_TOG_2000;Welcome into the fold, my Swedish brothers and sisters.;;;;;;;;;x 
EVTDESC_TOG_2001;The people of [Root.GetName] have developed their language and customs to a point where they may now be considered part of a distinct branch of Norse culture. They have begun to refer to themselves as Norwegian.;;;;;;;;;x 
EVTOPTA_TOG_2001;What will they think of next, I wonder.;;;;;;;;;x 
EVTOPTB_TOG_2001;Welcome into the fold, my Norwegian brothers and sisters.;;;;;;;;;x 
EVTDESC_TOG_2002;The people of [Root.GetName] have developed their language and customs to a point where they may now be considered part of a distinct branch of Norse culture. They have begun to refer to themselves as Danish.;;;;;;;;;x 
EVTOPTA_TOG_2002;What will they think of next, I wonder.;;;;;;;;;x 
EVTOPTB_TOG_2002;Welcome into the fold, my Danish brothers and sisters.;;;;;;;;;x 
EVTDESC_TOG_2003;The people of [Root.GetName] have developed their language and customs to a point where they may now be considered part of a distinct branch of Norse culture. They have begun to refer to themselves as Norman.;;;;;;;;;x 
EVTOPTA_TOG_2003;What will they think of next, I wonder.;;;;;;;;;x 
EVTOPTB_TOG_2003;Welcome into the fold, my Norman brothers and sisters.;;;;;;;;;x 
berserker;Berserker;;;;;;;;;x 
berserker_desc;This character works himself into a mad frenzy during battle, charging fearlessly at the enemy.;;;;;;;;;x 
opinion_went_berserk;Went Berserk;;;;;;;;;x 
EVTDESC_TOG_3000;As the enemy draws near during the battle, an uncontrollable rage begins to swell within you. You furiously bite down on the edges of your shield in an attempt to devour it. Trembling with anger, you then raise your great axe and charge howling into the enemy ranks. Many of the cowards attempt to flee at the mere sight of you, but your axe has no mercy to spare for them.;;;;;;;;;x 
EVTOPTA_TOG_3000;Must... kill... more...;;;;;;;;;x 
EVTDESC_TOG_3001;Consumed by bloodlust and shaking with berserker rage, you cleave the skull of yet another foe with your axe. That was a worthy opponent, and only when you turn to seek more fodder for your axe do you notice the large spear impaling your thigh.;;;;;;;;;x 
EVTOPTA_TOG_3001;Only a flesh wound...;;;;;;;;;x 
EVTDESC_TOG_3002;Consumed by bloodlust and shaking with berserker rage, you cleave the skull of yet another foe with your axe. That was a worthy opponent, and only when you turn to seek more fodder for your axe do you notice the long arrow impaling your thigh.;;;;;;;;;x 
EVTDESC_TOG_3003;Your berserker rage has left you isolated and surrounded, and as you swing your axe at the nearest foe, an arrow burrows into your shoulder and two more dig into your chest. Throwing your shield aside, you wield your axe two-handed and cleave yet another skull before falling to your knees. Moments later a dozen enemies hurl themselves at you like a pack of rabid dogs.;;;;;;;;;x 
EVTOPTA_TOG_3003;It is a good day to die...;;;;;;;;;x 
EVTDESC_TOG_3004;Your vision turns red with bloodlust and you charge ahead without regard for your safety. As your nearest companions hurry to keep up, you surrender to your berserker rage and your axe cuts a wide swath in the enemy ranks. When the dust settles, they find you standing over half a dozen slain foes.;;;;;;;;;x 
EVTOPTA_TOG_3004;*guttural howl*;;;;;;;;;x 
EVTDESC_TOG_3005;Despite your best efforts, you have thus far been cheated of a glorious death in battle. Sadly, you no longer have the endurance or constitution necessary to sustain your berserker rage. Perhaps such things are best left for the youth...;;;;;;;;;x 
EVTOPTA_TOG_3005;Perhaps indeed.;;;;;;;;;x 
EVTDESC_TOG_3006;You are in the middle of a heated discussion with [From.GetTitledFirstName], your bothersome courtier, when you feel the berserker rage rising within you. As [From.GetFirstName] continues to babble about trivial concerns, you bite down hard on the wooden table and begin to froth at the mouth. Soon your vision turns red as the familiar bloodlust is roused from its slumber...;;;;;;;;;x 
EVTOPTA_TOG_3006;Gggh... m-must... control... r-rage...;;;;;;;;;x 
EVTTOOLTIP_TOG_3007;going berserk.;;;;;;;;;x 
EVTDESC_TOG_3007;As your servants hurry towards your throne room to see what the commotion is about, the doors fly open and [FromFrom.GetTitledFirstName] tumbles out with torn clothes, several missing teeth and a face covered in bruises. He runs away in mad panic as you struggle to calm down.;;;;;;;;;x 
EVTOPTA_TOG_3007;I probably shouldn't have done that...;;;;;;;;;x 
EVTTOOLTIP_TOG_3008;controlling your wrath.;;;;;;;;;x 
EVTDESC_TOG_3008;You bite off a large chunk of table and spit it out as [FromFrom.GetTitledFirstName] continues to drone on. The berserker rage is upon you, but with great effort you manage to channel it towards the table instead of [FromFrom.GetFirstName]. With your axe you reduce the table to firewood, and as you lie panting in the wreckage, [FromFrom.GetFirstName] finally stops his tirade to ask: Are you feeling well, my [Root.GetTitle]?;;;;;;;;;x 
varangian;Varangian;;;;;;;;;x 
varangian_desc;This character is a veteran of the Varangian Guard.;;;;;;;;;x 
EVTOPTA_TOG_3008;Yes... yes. I just need a moment to collect my wits.;;;;;;;;;x 
organize_varangian_guard;Organize the Varangian Guard;;;;;;;;;x 
organize_varangian_guard_desc;Recruit Varangian warriors from the north into an elite unit that will serve as the personal guard of the [Root.GetTitle].;;;;;;;;;x 
varangians_organized;The Varangian Guard is formed.;;;;;;;;;x 
EVTNAME_TOG_3100;The Varangian Guard;;;;;;;;;x 
EVTDESC_TOG_3100;Varangian raiders sailing from the distant north down the rivers leading into the Black Sea have proven themselves to be formidable warriors. You have managed to recruit a great many of their number into a personal guard loyal only to the [Root.GetTitle].\n\nThis new Varangian Guard will not only form a powerful shock force against the Empire's many enemies, but their foreign roots should also preclude them from becoming too entangled in the palace intrigue and power struggles that are so commonplace in [Root.Capital.GetName].;;;;;;;;;x 
EVTOPTA_TOG_3100;They shall serve me well.;;;;;;;;;x 
EVTDESC_TOG_3101;[From.GetFirstName], the great king of the Greeks, is distraught over the poor mettle of his countrymen. Knowing well our skill in battle, he has decided to form a bodyguard consisting solely of Norse warriors.\n\nThose who serve him in the great city of Miklagård are generously rewarded, and even now many of our young men, eager for riches and adventure, have departed for Greece to pick up his banner.;;;;;;;;;x 
EVTOPTA_TOG_3101;May they find the excitement they yearn.;;;;;;;;;x 
EVTDESC_TOG_3110;Your son, [From.GetTitledFirstName], has decided to enlist with the Varangian Guard in Miklagård and seek his fortune there! Although he will no doubt gain both riches and valuable battle experience in service of the Greek king, there will be many perils that could well cost him his life.;;;;;;;;;x 
EVTOPTA_TOG_3110;I will not allow it!;;;;;;;;;x 
EVTOPTB_TOG_3110;Go to Miklagård and make me proud, son.;;;;;;;;;x 
EVTDESC_TOG_3112;A grizzled old warrior having just returned from Greece arrived with a message from [From.GetTitledFirstName] today. Though he has left the Varangian Guard, your son has apparently found himself a Greek wife and decided to remain in Miklagård and build a new life there. It is doubtful whether you will ever see him again...;;;;;;;;;x 
EVTOPTA_TOG_3112;My boy...;;;;;;;;;x 
EVTDESC_TOG_3113;After finishing his service with the Varangian Guard, [From.GetTitledFirstName] has married a local woman and decided to remain in Constantinople instead of returning home to the barbaric frozen wasteland he once came from. He has pledged his continued service to you.;;;;;;;;;x 
EVTOPTA_TOG_3113;Very well.;;;;;;;;;x 
EVTDESC_TOG_3115;A heavily scarred warrior clad in strange armor approaches your throne, and before he can be disarmed, the stranger relieves your guard of his spear in a swift, fluid motion and tosses it aside. Other guards hurry forward, but you raise your hand to stop them. The stranger is [From.GetTitledFirstName], at last returned from Greece!;;;;;;;;;x 
EVTOPTA_TOG_3115;[From.GetFirstName]! You've... changed!;;;;;;;;;x 
EVTDESC_TOG_3117;Your son, [From.GetTitledFirstName], has finally returned home from Greece and his service with the Varangian Guard! Although you can't quite put your finger on it, he seems different somehow... and what is this Greek love he speaks of?;;;;;;;;;x 
EVTOPTA_TOG_3117;No matter, I'm just glad he made it home!;;;;;;;;;x 
EVTDESC_TOG_3119;A frail, robed man is led into your throne room, and your guards explain that he just arrived on a ship coming from Miklagård. The man would only speak your name over and over again, and so he was brought to you. To your horror, you recognize him at last as [From.GetTitledFirstName]!;;;;;;;;;x 
EVTOPTA_TOG_3119;[From.GetFirstName], what have they done to you?!;;;;;;;;;x 
EVTDESC_TOG_3121;[From.GetTitledFirstName] has finally returned home after a long and successful career in the Varangian Guard! He fought in several battles, and learned much from the clever strategies and tactics favored by both the Greeks and their enemies in Serkland.;;;;;;;;;x 
EVTOPTA_TOG_3121;Tell me of your battles, [From.GetFirstName]...;;;;;;;;;x 
EVTDESC_TOG_3123;[From.GetTitledFirstName] has returned from Greece and the Varangian Guard, but he refuses to speak of his experiences there. You know he took part in several battles and killed many foes, but instead of reveling in the glory of his accomplishments, [From.GetFirstName] is plagued by nightmares and jumps at sudden sounds.;;;;;;;;;x 
EVTOPTA_TOG_3123;Strange...;;;;;;;;;x 
EVTDESC_TOG_3125;[From.GetTitledFirstName] has come home from Miklagård and his service with the Varangian Guard, but he is not alone. He has found a Greek wife and brought her with him. She is not familiar with our customs or language, and the climate does not seem to agree with her, but she seems willing to make the best of her new home.;;;;;;;;;x 
EVTOPTA_TOG_3125;Each to their own.;;;;;;;;;x 
EVTDESC_TOG_3127;After many years in Greece, [From.GetTitledFirstName] has finally been released from his service to the Varangian Guard and returned home. Your son is a changed man, however. The old gods no longer hold any interest for him, and he instead speaks incessantly of Christendom and the horrors that await those who refuse to convert...;;;;;;;;;x 
